,Organisation Name,OrgUrls,desc,tech,topic,site,number of Projects
13, NumFOCUS ,https://summerofcode.withgoogle.com//programs/2024/organizations/numfocus,NumFOCUS promotes open source scientific software.,"python, c++, r, julia","data science, graphics, scientific computing, numerical computation",https://numfocus.org,37
14, The Rust Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-rust-foundation,A language empowering everyone,"python, rust","compilers, programming languages",https://www.rust-lang.org,9
15, FOSSology ,https://summerofcode.withgoogle.com//programs/2024/organizations/fossology,Open Source License Compliance by OSS,"python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation",https://fossology.org,8
16, OWASP Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/owasp-foundation,No more insecure software.,"python, javascript, java, ZAP, Juice Shop","web, cloud, application security, cybersecurity, DevSecOps",https://owasp.org,12
17, OpenVINO Toolkit ,https://summerofcode.withgoogle.com//programs/2024/organizations/openvino-toolkit,Make AI inference faster and easier to deploy!,"python, c++, x86","ai, deep learning, neural network, inference, gen ai",https://docs.openvino.ai/,11
18, Keploy ,https://summerofcode.withgoogle.com//programs/2024/organizations/keploy,E2E test generation and mocking toolkit,"c, golang, node, MERN, epbf","API Testing, No code platform, Dev Tool, Functional Testing, Mock and Stubs Generation",https://keploy.io,3
19, Uramaki LAB ,https://summerofcode.withgoogle.com//programs/2024/organizations/uramaki-lab,The User Experience LAB based on IA,"python, javascript, html, css, Firebase","Usability, User Evaluation, Heuristic Evaluation, Eye Tracking, Sentimental Analysis",https://github.com/ruxailab,3
20, Kiwix ,https://summerofcode.withgoogle.com//programs/2024/organizations/kiwix,Internet content available offline.,"python, c++, nodejs, kotlin, vue.js","offline, browser, compression",https://www.kiwix.org,3
21, gprMax ,https://summerofcode.withgoogle.com//programs/2024/organizations/gprmax,Simulating electromagnetic wave propagation,"python, cuda, openmp, mpi, opencl","science, engineering, geophysics, electromagnetics, ground penetrating radar",https://www.gprmax.com,5
22, JabRef e.V. ,https://summerofcode.withgoogle.com//programs/2024/organizations/jabref-ev,Open Source bibliography manager,"java, javafx, ai, bibtex","science, library, literature, latex, bibliography",https://www.jabref.org/,3
23, Open Chromosome Collective ,https://summerofcode.withgoogle.com//programs/2024/organizations/open-chromosome-collective,Open-Source Tools for 3D Genomics Research,"python, numpy, scikit-learn, pandas, HDF5","machine learning, genomics, bioinformatics, data science, python",https://open2c.github.io/,3
24, GRAME ,https://summerofcode.withgoogle.com//programs/2024/organizations/grame,Domain specific language for audio,"c, python, javascript, c++, typescript","audio, compiler, digital signal processing, function programming language",https://faust.grame.fr,4
25, The Linux Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-linux-foundation,Non-profit consortium fostering growth of Linux,"c, linux, c++, cups, ipp","kernel, automotive, printing, iio, zephyr",http://www.linuxfoundation.org/,21
26, Scala Center ,https://summerofcode.withgoogle.com//programs/2024/organizations/scala-center,Guide and support the Scala community,"scala, scala.js, scala native","education, compilers, tooling",https://scala-lang.org/,10
27, Open HealthCare Network ,https://summerofcode.withgoogle.com//programs/2024/organizations/open-healthcare-network,Reimagining Healthcare Delivery,"python, django, react, typescript, NextJs","electronic medical records, Digital Public Goods, Pandemic Response and Management, Telemedicine and Remote Care, AI in Health",https://ohc.network/,4
28, API Dash ,https://summerofcode.withgoogle.com//programs/2024/organizations/api-dash,Next-gen Open Source API DevTool,"flutter, api, nosql, dart","testing, api, developer tools, automation, app development",https://apidash.dev,1
